#,App Name,GitHub Repo,GitHub Pages (Live),Repo URL,Pages URL
1,Ayursattva - Ayurvedic Health,https://github.com/Leadspree-Dev-Official/ayursattva-ayurvedic-health,https://leadspree-dev-official.github.io/ayursattva-ayurvedic-health/,ayursattva-ayurvedic-health,leadspree-dev-official.github.io/ayursattva-ayurvedic-health
2,Ayuswasth - Indian Health & Wellness,https://github.com/Leadspree-Dev-Official/ayuswasth-indian-health-wellness,https://leadspree-dev-official.github.io/ayuswasth-indian-health-wellness/,ayuswasth-indian-health-wellness,leadspree-dev-official.github.io/ayuswasth-indian-health-wellness
3,Indian Auto Pit & Custom Garage,https://github.com/Leadspree-Dev-Official/indian-auto-pit-custom-garage,https://leadspree-dev-official.github.io/indian-auto-pit-custom-garage/,indian-auto-pit-custom-garage,leadspree-dev-official.github.io/indian-auto-pit-custom-garage
4,Indian Home Food Delivery,https://github.com/Leadspree-Dev-Official/indian-home-food-delivery,https://leadspree-dev-official.github.io/indian-home-food-delivery/,indian-home-food-delivery,leadspree-dev-official.github.io/indian-home-food-delivery
5,Indicraft Furnishings,https://github.com/Leadspree-Dev-Official/indicraft-furnishings,https://leadspree-dev-official.github.io/indicraft-furnishings/,indicraft-furnishings,leadspree-dev-official.github.io/indicraft-furnishings
6,Keralayaatra - Resort Booking,https://github.com/Leadspree-Dev-Official/keralayaatra-resort-booking,https://leadspree-dev-official.github.io/keralayaatra-resort-booking/,keralayaatra-resort-booking,leadspree-dev-official.github.io/keralayaatra-resort-booking
7,Keralayaatra - Taxi & Tour Booking,https://github.com/Leadspree-Dev-Official/keralayaatra-taxi-tour-booking,https://leadspree-dev-official.github.io/keralayaatra-taxi-tour-booking/,keralayaatra-taxi-tour-booking,leadspree-dev-official.github.io/keralayaatra-taxi-tour-booking
8,Keralayaatra - Taxi & Tour Packages,https://github.com/Leadspree-Dev-Official/keralayaatra-taxi-tour-packages,https://leadspree-dev-official.github.io/keralayaatra-taxi-tour-packages/,keralayaatra-taxi-tour-packages,leadspree-dev-official.github.io/keralayaatra-taxi-tour-packages
9,Keralayaatra,https://github.com/Leadspree-Dev-Official/keralayaatra,https://leadspree-dev-official.github.io/keralayaatra/,keralayaatra,leadspree-dev-official.github.io/keralayaatra
10,Kolkata Real Estate Marketplace,https://github.com/Leadspree-Dev-Official/kolkata-real-estate-marketplace,https://leadspree-dev-official.github.io/kolkata-real-estate-marketplace/,kolkata-real-estate-marketplace,leadspree-dev-official.github.io/kolkata-real-estate-marketplace
11,Machinery Manufacturer Storefront,https://github.com/Leadspree-Dev-Official/machinery-manufacturer-storefront,https://leadspree-dev-official.github.io/machinery-manufacturer-storefront/,machinery-manufacturer-storefront,leadspree-dev-official.github.io/machinery-manufacturer-storefront
12,My Nilgiri Cabs,https://github.com/Leadspree-Dev-Official/my-nilgiri-cabs,https://leadspree-dev-official.github.io/my-nilgiri-cabs/,my-nilgiri-cabs,leadspree-dev-official.github.io/my-nilgiri-cabs
13,RA Holidays Landing Page,https://github.com/Leadspree-Dev-Official/ra-holidays-landing-page,https://leadspree-dev-official.github.io/ra-holidays-landing-page/,ra-holidays-landing-page,leadspree-dev-official.github.io/ra-holidays-landing-page
14,Remix Frozen Foods,https://github.com/Leadspree-Dev-Official/remix-frozen-foods,https://leadspree-dev-official.github.io/remix-frozen-foods/,remix-frozen-foods,leadspree-dev-official.github.io/remix-frozen-foods
15,Shringar Beauty Hub,https://github.com/Leadspree-Dev-Official/shringar-beauty-hub,https://leadspree-dev-official.github.io/shringar-beauty-hub/,shringar-beauty-hub,leadspree-dev-official.github.io/shringar-beauty-hub
16,Tryss Wholesale Momos,https://github.com/Leadspree-Dev-Official/tryss-wholesale-momos,https://leadspree-dev-official.github.io/tryss-wholesale-momos/,tryss-wholesale-momos,leadspree-dev-official.github.io/tryss-wholesale-momos
